Wave,SiteID,Date,Weather,Time,Count
2023 W1 spring,ML0001,22/06/2023,Dry,17:45:00,198
2023 W1 spring,ML0001,22/06/2023,Dry,18:00:00,200
2023 W1 spring,ML0001,22/06/2023,Dry,18:15:00,213
2023 W1 spring,ML0001,22/06/2023,Dry,18:30:00,189
2023 W1 spring,ML0001,22/06/2023,Dry,18:45:00,168
2023 W1 spring,ML0001,22/06/2023,Dry,19:00:00,117
2023 W1 spring,ML0001,22/06/2023,Dry,19:15:00,122
2023 W1 spring,ML0001,22/06/2023,Dry,19:30:00,94
2023 W1 spring,ML0001,22/06/2023,Dry,19:45:00,65
2023 W1 spring,ML0001,22/06/2023,Dry,20:00:00,63
2023 W1 spring,ML0001,22/06/2023,Dry,20:15:00,58
2023 W1 spring,ML0001,22/06/2023,Dry,20:30:00,66
2023 W1 spring,ML0001,22/06/2023,Dry,20:45:00,67
2023 W1 spring,ML0001,22/06/2023,Dry,21:00:00,46
2023 W1 spring,ML0001,22/06/2023,Dry,21:15:00,42
2023 W1 spring,ML0001,22/06/2023,Dry,21:30:00,37
2023 W1 spring,ML0001,22/06/2023,Dry,21:45:00,26
2023 W1 spring,ML0001,22/06/2023,Dry,06:45:00,2
2023 W1 spring,ML0001,22/06/2023,Dry,15:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,16:30:00,2
2023 W1 spring,ML0001,22/06/2023,Dry,18:00:00,2
2023 W1 spring,ML0001,22/06/2023,Dry,18:15:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,19:15:00,2
2023 W1 spring,ML0001,22/06/2023,Dry,20:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,20:15:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,08:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,09:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,10:15:00,2
2023 W1 spring,ML0001,22/06/2023,Dry,11:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,11:45:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,19:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,19:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,06:45:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,07:15:00,8
2023 W1 spring,ML0001,22/06/2023,Dry,07:45:00,10
2023 W1 spring,ML0001,22/06/2023,Dry,08:15:00,18
2023 W1 spring,ML0001,22/06/2023,Dry,08:30:00,23
2023 W1 spring,ML0001,22/06/2023,Dry,08:45:00,45
2023 W1 spring,ML0001,22/06/2023,Dry,09:00:00,24
2023 W1 spring,ML0001,22/06/2023,Dry,09:15:00,27
2023 W1 spring,ML0001,22/06/2023,Dry,09:30:00,18
